anual;mes;Territorio;Medida;Valor
2009;Diciembre;Sevilla;Indice de precios hoteleros;96,8
2010;Enero;Almeria;Indice de precios hoteleros;99,5
2010;Enero;Cadiz;Indice de precios hoteleros;92,2
2010;Enero;Cordoba;Indice de precios hoteleros;95,7
2010;Enero;Granada;Indice de precios hoteleros;91,0
2010;Enero;Huelva;Indice de precios hoteleros;93,7
2010;Enero;Jaen;Indice de precios hoteleros;98,5
2010;Enero;Malaga;Indice de precios hoteleros;97,3
2010;Enero;Sevilla;Indice de precios hoteleros;89,5
2010;Febrero;Almeria;Indice de precios hoteleros;99,8
2010;Febrero;Cadiz;Indice de precios hoteleros;86,6
2010;Febrero;Cordoba;Indice de precios hoteleros;91,7
2010;Febrero;Granada;Indice de precios hoteleros;90,4
2010;Febrero;Huelva;Indice de precios hoteleros;105,5
2010;Febrero;Jaen;Indice de precios hoteleros;98,7
2010;Febrero;Malaga;Indice de precios hoteleros;98,3
2010;Febrero;Sevilla;Indice de precios hoteleros;89,9
2010;Marzo;Almeria;Indice de precios hoteleros;99,4
2010;Marzo;Cadiz;Indice de precios hoteleros;84,8
2010;Marzo;Cordoba;Indice de precios hoteleros;87,7
2010;Marzo;Granada;Indice de precios hoteleros;87,4
2010;Marzo;Huelva;Indice de precios hoteleros;78,5
2010;Marzo;Jaen;Indice de precios hoteleros;94,8
2010;Marzo;Malaga;Indice de precios hoteleros;91,8
2010;Marzo;Sevilla;Indice de precios hoteleros;85,2
2010;Abril;Almeria;Indice de precios hoteleros;108,1
2010;Abril;Cadiz;Indice de precios hoteleros;89,1
2010;Abril;Cordoba;Indice de precios hoteleros;92,9
2010;Abril;Granada;Indice de precios hoteleros;91,7
2010;Abril;Huelva;Indice de precios hoteleros;82,3
2010;Abril;Jaen;Indice de precios hoteleros;95,3
2010;Abril;Malaga;Indice de precios hoteleros;96,5
2010;Abril;Sevilla;Indice de precios hoteleros;93,9
2010;Mayo;Almeria;Indice de precios hoteleros;99,1
2010;Mayo;Cadiz;Indice de precios hoteleros;88,8
2010;Mayo;Cordoba;Indice de precios hoteleros;96,2
2010;Mayo;Granada;Indice de precios hoteleros;92,3
2010;Mayo;Huelva;Indice de precios hoteleros;74,4
2010;Mayo;Jaen;Indice de precios hoteleros;94,2
2010;Mayo;Malaga;Indice de precios hoteleros;95,3
2010;Mayo;Sevilla;Indice de precios hoteleros;90,9
2010;Junio;Almeria;Indice de precios hoteleros;96,5
2010;Junio;Cadiz;Indice de precios hoteleros;91,3
2010;Junio;Cordoba;Indice de precios hoteleros;93,2
2010;Junio;Granada;Indice de precios hoteleros;90,7
2010;Junio;Huelva;Indice de precios hoteleros;84,9
2010;Junio;Jaen;Indice de precios hoteleros;95,2
2010;Junio;Malaga;Indice de precios hoteleros;98,4
2010;Junio;Sevilla;Indice de precios hoteleros;88,8
2010;Julio;Almeria;Indice de precios hoteleros;92,4
2010;Julio;Cadiz;Indice de precios hoteleros;93,1
2010;Julio;Cordoba;Indice de precios hoteleros;94,1
2010;Julio;Granada;Indice de precios hoteleros;87,8
2010;Julio;Huelva;Indice de precios hoteleros;83,9
2010;Julio;Jaen;Indice de precios hoteleros;96,4
2010;Julio;Malaga;Indice de precios hoteleros;96,5
2010;Julio;Sevilla;Indice de precios hoteleros;88,7
2010;Agosto;Almeria;Indice de precios hoteleros;96,9
2010;Agosto;Cadiz;Indice de precios hoteleros;98,8
2010;Agosto;Cordoba;Indice de precios hoteleros;88,3
2010;Agosto;Granada;Indice de precios hoteleros;93,3
2010;Agosto;Huelva;Indice de precios hoteleros;88,4
2010;Agosto;Jaen;Indice de precios hoteleros;96,8
2010;Agosto;Malaga;Indice de precios hoteleros;96,7
2010;Agosto;Sevilla;Indice de precios hoteleros;91,9
2010;Septiembre;Almeria;Indice de precios hoteleros;90,8
2010;Septiembre;Cadiz;Indice de precios hoteleros;90,6
2010;Septiembre;Cordoba;Indice de precios hoteleros;93,1
2010;Septiembre;Granada;Indice de precios hoteleros;92,8
2010;Septiembre;Huelva;Indice de precios hoteleros;90,5
2010;Septiembre;Jaen;Indice de precios hoteleros;93,8
2010;Septiembre;Malaga;Indice de precios hoteleros;93,4
2010;Septiembre;Sevilla;Indice de precios hoteleros;92,1
2010;Octubre;Almeria;Indice de precios hoteleros;96,6
2010;Octubre;Cadiz;Indice de precios hoteleros;91,8
2010;Octubre;Cordoba;Indice de precios hoteleros;96,2
2010;Octubre;Granada;Indice de precios hoteleros;91,6
2010;Octubre;Huelva;Indice de precios hoteleros;89,9
2010;Octubre;Jaen;Indice de precios hoteleros;99,3
2010;Octubre;Malaga;Indice de precios hoteleros;93,5
2010;Octubre;Sevilla;Indice de precios hoteleros;93,1
2010;Noviembre;Almeria;Indice de precios hoteleros;105,2
2010;Noviembre;Cadiz;Indice de precios hoteleros;89,4
2010;Noviembre;Cordoba;Indice de precios hoteleros;95,3
2010;Noviembre;Granada;Indice de precios hoteleros;89,7
2010;Noviembre;Huelva;Indice de precios hoteleros;92,7
2010;Noviembre;Jaen;Indice de precios hoteleros;97,9
2010;Noviembre;Malaga;Indice de precios hoteleros;97,1
2010;Noviembre;Sevilla;Indice de precios hoteleros;95,8
2010;Diciembre;Almeria;Indice de precios hoteleros;104,5
2010;Diciembre;Cadiz;Indice de precios hoteleros;90,7
2010;Diciembre;Cordoba;Indice de precios hoteleros;102,0
2010;Diciembre;Granada;Indice de precios hoteleros;93,6
2010;Diciembre;Huelva;Indice de precios hoteleros;101,3
2010;Diciembre;Jaen;Indice de precios hoteleros;92,6
2010;Diciembre;Malaga;Indice de precios hoteleros;99,5
2010;Diciembre;Sevilla;Indice de precios hoteleros;97,5
2011;Enero;Almeria;Indice de precios hoteleros;95,0
2011;Enero;Cadiz;Indice de precios hoteleros;87,7
2011;Enero;Cordoba;Indice de precios hoteleros;94,0
2011;Enero;Granada;Indice de precios hoteleros;86,4
2011;Enero;Huelva;Indice de precios hoteleros;99,0
2011;Enero;Jaen;Indice de precios hoteleros;98,3
2011;Enero;Malaga;Indice de precios hoteleros;96,9
2011;Enero;Sevilla;Indice de precios hoteleros;86,9
2011;Febrero;Almeria;Indice de precios hoteleros;96,4
2011;Febrero;Cadiz;Indice de precios hoteleros;83,6
2011;Febrero;Cordoba;Indice de precios hoteleros;94,1
2011;Febrero;Granada;Indice de precios hoteleros;85,9
2011;Febrero;Huelva;Indice de precios hoteleros;107,2
2011;Febrero;Jaen;Indice de precios hoteleros;97,5
2011;Febrero;Malaga;Indice de precios hoteleros;97,1
2011;Febrero;Sevilla;Indice de precios hoteleros;90,8
2011;Marzo;Almeria;Indice de precios hoteleros;94,5
2011;Marzo;Cadiz;Indice de precios hoteleros;77,0
2011;Marzo;Cordoba;Indice de precios hoteleros;85,9
2011;Marzo;Granada;Indice de precios hoteleros;81,7
2011;Marzo;Huelva;Indice de precios hoteleros;89,1
2011;Marzo;Jaen;Indice de precios hoteleros;91,3
2011;Marzo;Malaga;Indice de precios hoteleros;88,8
2011;Marzo;Sevilla;Indice de precios hoteleros;81,8
2011;Abril;Almeria;Indice de precios hoteleros;100,4
2011;Abril;Cadiz;Indice de precios hoteleros;89,3
2011;Abril;Cordoba;Indice de precios hoteleros;95,5
2011;Abril;Granada;Indice de precios hoteleros;90,2
2011;Abril;Huelva;Indice de precios hoteleros;86,1
2011;Abril;Jaen;Indice de precios hoteleros;94,4
